ID 	SX 	VG 	VE 	VF 
0 	1 	-0.122 	-2.998 	-3.120 
1 	1 	-1.087 	0.350 	-0.737 
2 	0 	0.460 	0.790 	1.250 
3 	0 	0.189 	-4.740 	-4.551 
4 	1 	0.034 	-1.273 	-1.239 
5 	0 	-0.527 	-0.342 	-0.869 
6 	0 	0.463 	0.187 	0.650 
7 	0 	0.201 	2.408 	2.609 
8 	0 	1.310 	0.350 	1.660 
9 	0 	1.002 	0.548 	1.550 
10 	1 	-0.128 	2.633 	2.505 
11 	1 	-0.337 	1.362 	1.025 
12 	1 	-0.138 	1.721 	1.583 
13 	1 	0.082 	0.589 	0.671 
14 	1 	-0.936 	-1.583 	-2.519 
15 	1 	-2.672 	-1.845 	-4.517 
16 	1 	0.007 	-4.008 	-4.001 
17 	0 	-0.718 	0.361 	-0.358 
18 	1 	-0.895 	-4.837 	-5.731 
19 	0 	-0.013 	0.030 	0.016 
20 	1 	-0.074 	1.534 	1.461 
21 	0 	0.858 	1.485 	2.343 
22 	0 	0.377 	0.660 	1.037 
23 	1 	-0.749 	1.877 	1.128 
24 	0 	0.566 	-1.516 	-0.950 
25 	0 	0.328 	-2.089 	-1.761 
26 	1 	1.212 	2.289 	3.500 
27 	0 	0.046 	-0.589 	-0.543 
28 	0 	-0.927 	-1.700 	-2.627 
29 	1 	-2.445 	-1.124 	-3.569 
30 	1 	-0.471 	-0.288 	-0.759 
31 	0 	0.072 	6.535 	6.607 
32 	1 	0.468 	2.116 	2.584 
33 	0 	0.298 	0.772 	1.070 
34 	1 	-0.406 	-0.504 	-0.910 
35 	0 	-0.315 	-0.915 	-1.230 
36 	1 	1.647 	-1.101 	0.546 
37 	1 	-0.673 	-1.926 	-2.599 
38 	1 	1.325 	-2.992 	-1.667 
39 	0 	1.111 	-3.043 	-1.932 
40 	1 	0.159 	1.069 	1.228 
41 	1 	-0.162 	0.212 	0.050 
42 	0 	-0.283 	0.402 	0.118 
43 	1 	-1.093 	-2.217 	-3.311 
44 	1 	0.568 	-0.511 	0.057 
45 	0 	-0.014 	-0.637 	-0.651 
46 	1 	1.459 	2.423 	3.882 
47 	1 	1.247 	0.972 	2.220 
48 	1 	-1.436 	-2.194 	-3.630 
49 	0 	-0.114 	-0.450 	-0.564 
50 	1 	0.941 	-0.391 	0.550 
51 	0 	-0.219 	-1.244 	-1.463 
52 	0 	-0.135 	-1.298 	-1.433 
53 	1 	-1.101 	-4.094 	-5.195 
54 	1 	1.347 	-0.474 	0.873 
55 	1 	0.025 	3.213 	3.238 
56 	1 	1.102 	2.247 	3.350 
57 	1 	0.451 	2.100 	2.551 
58 	1 	-2.607 	2.011 	-0.596 
59 	0 	0.438 	0.410 	0.847 


ok
